Rows,Columns,Avg Obj Val,Avg RT,Iterations
10,10,357.1,0.004089641571044922,10
10,20,208.3,0.0024032115936279295,10
10,50,69.3,0.0033563613891601563,10
10,100,17.5,0.0021613359451293944,10
10,1000,2.6,0.020534396171569824,10
20,10,499.8,0.0037320852279663086,10
20,20,238.5,0.005616283416748047,10
20,50,84.5,0.005693316459655762,10
20,100,45.5,0.00803515911102295,10
20,1000,0.8,0.013238739967346192,10
50,10,732.6,0.01743350028991699,10
50,20,350.8,0.01872096061706543,10
50,50,123.1,0.017638015747070312,10
50,100,35.1,0.014810967445373534,10
50,1000,1.6,0.02877697944641113,10
100,10,410.5,0.016840100288391113,10
100,20,517.9,0.05486726760864258,10
100,50,160.3,0.054623866081237794,10
100,100,57.2,0.06276600360870362,10
100,1000,4.3,0.10746071338653565,10
500,10,799.0,0.0863332986831665,10
500,20,624.9,0.26407437324523925,10
500,50,184.6,0.20476577281951905,10
500,100,137.0,0.36586837768554686,10
500,1000,2.3,0.2254390001296997,10
1000,10,1224.5,0.43672378063201905,10
1000,20,508.7,0.4510218381881714,10
1000,50,293.6,0.8023282766342164,10
1000,100,150.5,1.070122981071472,10
1000,1000,3.3,0.894725751876831,10
