Rows,Columns,Avg Obj Val,Avg RT,Iterations
10,10,287.10200758122517,0.0004413604736328125,10
10,20,119.86294777630751,0.0005429744720458985,10
10,50,73.19295981167895,0.0010250091552734375,10
10,100,37.270493382752385,0.0008771181106567383,10
10,1000,1.3152489686091797,0.002642107009887695,10
20,10,480.59629600281704,0.0003355264663696289,10
20,20,89.44667118888785,0.0003612041473388672,10
20,50,93.53874777249658,0.0006245613098144531,10
20,100,30.027006844827657,0.0008089303970336914,10
20,1000,1.5094143547087089,0.003244495391845703,10
50,10,544.7916211823887,0.00042042732238769533,10
50,20,285.17163027834715,0.0006035566329956055,10
50,50,84.55653273960979,0.0010224103927612305,10
50,100,53.11174726616623,0.0016416072845458984,10
50,1000,2.306586420037391,0.01065208911895752,10
100,10,477.6998653507577,0.0005019187927246093,10
100,20,283.3250162197113,0.0007595300674438476,10
100,50,125.37113520660012,0.0015504598617553712,10
100,100,62.77988203973683,0.0032430171966552736,10
100,1000,2.0940641683527255,0.032617616653442386,10
500,10,744.6194010006375,0.0021213293075561523,10
500,20,366.24953308778083,0.0031814813613891602,10
500,50,189.08906246644952,0.006858539581298828,10
500,100,88.2265367486506,0.01696019172668457,10
500,1000,3.593984487952503,0.19888641834259033,10
1000,10,535.0283505183093,0.003960800170898437,10
1000,20,399.44947552835583,0.007132697105407715,10
1000,50,115.25829962305518,0.016473793983459474,10
1000,100,106.9468178118718,0.03492882251739502,10
1000,1000,6.5567803807110865,0.48683478832244875,10
